"Nombre restaurante","Rating","Cantidad reviews","Dirección","Teléfono","Sitio web","Categoría","Google Maps URL","Latitud","Longitud","Comuna","Región","País","Fuente","Fecha extracción","Calidad dato","Es restaurante válido","Instagram URL","Instagram Usuario","Facebook URL","TikTok URL","Tiene Redes","Calidad Redes","Está en Uber Eats","URL Uber Eats","Confianza Uber Eats","Está en PedidosYa","URL PedidosYa","Confianza PedidosYa","Está en Rappi","URL Rappi","Confianza Rappi","Observaciones","Nombre normalizado","Posible cadena/franquicia","Grupo cadena/franquicia","Posible duplicado entre comunas","Grupo duplicado","Tipo negocio","Score comercial","Nivel comercial"
"Piano Gourmet Restaurante y Café","4.8","143","Av. Padre Hurtado Nte 77, 7591575 Las Condes, Región Metropolitana","9 9128 7273","http://www.pianogourmet.cl/","Cafetería","https://www.google.com/maps/place/Piano+Gourmet+Restaurante+y+Caf%C3%A9/@-33.393639,-70.545679,17z/data=!3m1!4b1!4m6!3m5!1s0x9662cfc9db72f817:0x449f3256a68a0e89!8m2!3d-33.393639!4d-70.545679!16s%2Fg%2F11whmx2ln1?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D","-33.393639","-70.545679","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","No","","","","","","","","","","","","","","","","Revisar: parece cafeteria; Revisar: parece cafe","piano gourmet y cafe","No","","No","","Cafetería","78","Bajo potencial"
"Toni Lautaro","4.6","67","Avenida Apoquindo 2730, MUT 4to piso, Las Condes, Región Metropolitana","9 7963 7286","","Restaurante","https://www.google.com/maps/place/Toni+Lautaro/data=!4m7!3m6!1s0x9662cf59110ee7d5:0xd5f5da5ab1f5418f!8m2!3d-33.4176518!4d-70.6013263!16s%2Fg%2F11w3b3g_7j!19sChIJ1ecOEVnPYpYRj0H1sVra9dU?authuser=0&hl=es-419&rclk=1","-33.4176518","-70.6013263","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Parcial","Sí","","","","","","","","","","","","","","","","","toni lautaro","No","","No","","Restaurante","64","Medio potencial"
"Bali Hai Chile","4.3","14","Av. Cristóbal Colón 5146, 7580214 Las Condes, Región Metropolitana","(2) 3375 9696","https://www.balihai.cl/","Restaurante polinesio","https://www.google.com/maps/place/Bali+Hai+Chile/data=!4m7!3m6!1s0x9662cee3b7afead9:0x5b5b5dfaec2585db!8m2!3d-33.4184462!4d-70.5716536!16s%2Fg%2F1hjgt49yn!19sChIJ2eqvt-POYpYR24Ul7PpdW1s?authuser=0&hl=es-419&rclk=1","-33.4184462","-70.5716536","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","","","bali hai","No","","No","","Restaurante","70","Medio potencial"
"Almuerzo las condes","4.8","84","García Pica 6784, 7560260 Las Condes, Región Metropolitana","9 6231 8141","","Restaurante","https://www.google.com/maps/place/Almuerzo+las+condes/data=!4m7!3m6!1s0x9662cfcfd3976653:0x8e38586ff678a61e!8m2!3d-33.3995587!4d-70.5622255!16s%2Fg%2F11h01flnvq!19sChIJU2aX08_PYpYRHqZ49m9YOI4?authuser=0&hl=es-419&rclk=1","-33.3995587","-70.5622255","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Parcial","Sí","","","","","","","","","","","","","","","","","almuerzo","No","","No","","Restaurante","66","Medio potencial"
"Trattoria Rita Parque Arauco","4.6","27","Av. Pdte. Kennedy 5413, Local 369, 7550000 Las Condes, Región Metropolitana","(2) 2656 7014","http://www.rita.cl/","Restaurante italiano","https://www.google.com/maps/place/Trattoria+Rita+Parque+Arauco/data=!4m7!3m6!1s0x9662cf385855f3b5:0x725ed6a2b990a40a!8m2!3d-33.4020735!4d-70.5786617!16s%2Fg%2F11mhj__345!19sChIJtfNVWDjPYpYRCqSQuaLWXnI?authuser=0&hl=es-419&rclk=1","-33.4020735","-70.5786617","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","","","trattoria rita parque arauco","No","","No","","Restaurante","75","Medio potencial"
"Restorant el Castillo","4.5","509","Av. Apoquindo 7092, 7571726 Las Condes, Región Metropolitana","9 5036 3284","https://instagram.com/el.castillo.restaurante?igshid=YWJhMjlhZTc=","Restaurante","https://www.google.com/maps/place/Restorant+el+Castillo/data=!4m7!3m6!1s0x9662cec1f1885d91:0xa5a6f52ad52d8dab!8m2!3d-33.407713!4d-70.5556445!16s%2Fg%2F1tv25bnz!19sChIJkV2I8cHOYpYRq40t1Sr1pqU?authuser=0&hl=es-419&rclk=1","-33.407713","-70.5556445","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","","","el castillo","No","","No","","Restaurante","85","Alto potencial"
"Koychi Korean Street Food","4.8","46","Av. Pdte. Kennedy 5413, 7550000 Las Condes, Región Metropolitana","9 9393 3419","https://www.koychi.cl/","Restaurante coreano","https://www.google.com/maps/place/Koychi+Korean+Street+Food/data=!4m7!3m6!1s0x9662cfaa23f923f3:0xaaf956e9dce8757a!8m2!3d-33.402211!4d-70.5769511!16s%2Fg%2F11vkggpt__!19sChIJ8yP5I6rPYpYRenXo3OlW-ao?authuser=0&hl=es-419&rclk=1","-33.402211","-70.5769511","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","","","koychi korean street food","No","","No","","Restaurante","78","Alto potencial"
"Don Carlos","4.5","68","Isidora Goyenechea 2895, 7550101 Las Condes, Región Metropolitana","9 4850 0864","https://www.doncarloscarneyvino.cl/","Restaurante","https://www.google.com/maps/place/Don+Carlos/data=!4m7!3m6!1s0x9662cf41a61379ad:0xeb84305be2c0d72e!8m2!3d-33.414149!4d-70.601774!16s%2Fg%2F1tdw027v!19sChIJrXkTpkHPYpYRLtfA4lswhOs?authuser=0&hl=es-419&rclk=1","-33.414149","-70.601774","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","","","don carlos","No","","No","","Restaurante","78","Alto potencial"
"Chilenazo Las Condes","4.1","88","Av. Apoquindo 6226, 7561215 Las Condes, Región Metropolitana","(2) 2201 7162","https://www.chilenazorestaurant.cl/Locales/las-condes/","Restaurante","https://www.google.com/maps/place/Chilenazo+Las+Condes/@-33.4082051,-70.5663157,17z/data=!3m1!4b1!4m6!3m5!1s0x9662ceddb1a2b61f:0x2405a15bc5dbaf28!8m2!3d-33.4082051!4d-70.5663157!16s%2Fg%2F1td4frpk?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D","-33.4082051","-70.5663157","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","","","chilenazo","No","","No","","Restaurante","76","Medio potencial"
"La Yunta Las Condes","4.7","164","El Bosque Central 18, 7550248 Las Condes, Región Metropolitana","9 5348 6633","http://www.layunta.cl/","Bar restaurante","https://www.google.com/maps/place/La+Yunta+Las+Condes/@-33.4178848,-70.5996971,17z/data=!3m1!4b1!4m6!3m5!1s0x9662cf9294c1dccb:0x4088349636f2b5a3!8m2!3d-33.4178848!4d-70.5996971!16s%2Fg%2F11tp9mlww2?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D","-33.4178848","-70.5996971","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","","","la yunta","Sí","la yunta","Sí","DUP-001","Bar/Pub","82","Alto potencial"
