"Nombre restaurante","Rating","Cantidad reviews","Dirección","Teléfono","Sitio web","Categoría","Google Maps URL","Latitud","Longitud","Comuna","Región","País","Fuente","Fecha extracción","Calidad dato","Es restaurante válido","Instagram URL","Instagram Usuario","Facebook URL","TikTok URL","Tiene Redes","Calidad Redes","Está en Uber Eats","URL Uber Eats","Confianza Uber Eats","Está en PedidosYa","URL PedidosYa","Confianza PedidosYa","Está en Rappi","URL Rappi","Confianza Rappi","Observaciones"
"Almuerzo las condes","4.8","84","García Pica 6784, 7560260 Las Condes, Región Metropolitana","9 6231 8141","","Restaurante","https://www.google.com/maps/place/Almuerzo+las+condes/data=!4m7!3m6!1s0x9662cfcfd3976653:0x8e38586ff678a61e!8m2!3d-33.3995587!4d-70.5622255!16s%2Fg%2F11h01flnvq!19sChIJU2aX08_PYpYRHqZ49m9YOI4?authuser=0&hl=es-419&rclk=1","-33.3995587","-70.5622255","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Parcial","Sí","","","","","","","","","","","","","","","",""
"Bali Hai Chile","4.3","15","Av. Cristóbal Colón 5146, 7580214 Las Condes, Región Metropolitana","(2) 3375 9696","https://www.balihai.cl/","Restaurante polinesio","https://www.google.com/maps/place/Bali+Hai+Chile/@-33.4184462,-70.5716536,17z/data=!3m1!4b1!4m6!3m5!1s0x9662cee3b7afead9:0x5b5b5dfaec2585db!8m2!3d-33.4184462!4d-70.5716536!16s%2Fg%2F1hjgt49yn?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D","-33.4184462","-70.5716536","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"Koychi Korean Street Food","4.8","60","Av. Pdte. Kennedy 5413, 7550000 Las Condes, Región Metropolitana","9 9393 3419","https://www.koychi.cl/","Restaurante coreano","https://www.google.com/maps/place/Koychi+Korean+Street+Food/@-33.402211,-70.5769511,17z/data=!3m1!4b1!4m6!3m5!1s0x9662cfaa23f923f3:0xaaf956e9dce8757a!8m2!3d-33.402211!4d-70.5769511!16s%2Fg%2F11vkggpt__?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D","-33.402211","-70.5769511","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"Restorant el Castillo","4.5","509","Av. Apoquindo 7092, 7571726 Las Condes, Región Metropolitana","9 5036 3284","https://instagram.com/el.castillo.restaurante?igshid=YWJhMjlhZTc=","Restaurante","https://www.google.com/maps/place/Restorant+el+Castillo/data=!4m7!3m6!1s0x9662cec1f1885d91:0xa5a6f52ad52d8dab!8m2!3d-33.407713!4d-70.5556445!16s%2Fg%2F1tv25bnz!19sChIJkV2I8cHOYpYRq40t1Sr1pqU?authuser=0&hl=es-419&rclk=1","-33.407713","-70.5556445","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"Don Carlos","4.5","68","Isidora Goyenechea 2895, 7550101 Las Condes, Región Metropolitana","9 4850 0864","https://www.doncarloscarneyvino.cl/","Restaurante","https://www.google.com/maps/place/Don+Carlos/data=!4m7!3m6!1s0x9662cf41a61379ad:0xeb84305be2c0d72e!8m2!3d-33.414149!4d-70.601774!16s%2Fg%2F1tdw027v!19sChIJrXkTpkHPYpYRLtfA4lswhOs?authuser=0&hl=es-419&rclk=1","-33.414149","-70.601774","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"Route 66","4.5","17","Isidora Goyenechea 2960, 7550059 Las Condes, Región Metropolitana","(2) 3266 9954","http://www.route66.cl/","Restaurante","https://www.google.com/maps/place/Route+66/data=!4m7!3m6!1s0x9662cf405ad73ffb:0xee029d663f1a73e7!8m2!3d-33.4139825!4d-70.5999351!16s%2Fg%2F11dymmkn9y!19sChIJ-z_XWkDPYpYR53MaP2adAu4?authuser=0&hl=es-419&rclk=1","-33.4139825","-70.5999351","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"Happening","4.5","05","Av. Apoquindo 3090, 7550312 Las Condes, Región Metropolitana","(2) 2362 1092","http://www.happening.cl/","Restaurante","https://www.google.com/maps/place/Happening/data=!4m7!3m6!1s0x9662cf154a3d39f5:0x1037462ca6ea9cf5!8m2!3d-33.416711!4d-70.5976522!16s%2Fg%2F1ts_7tfh!19sChIJ9Tk9ShXPYpYR9ZzqpixGNxA?authuser=0&hl=es-419&rclk=1","-33.416711","-70.5976522","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"Aligot restaurant","4.5","26","Isidora Goyenechea 2890, 7550033 Las Condes, Región Metropolitana","(41) 324 8475","https://toto.menu/aligot?s=googlemaps","Restaurante","https://www.google.com/maps/place/Aligot+restaurant/@-33.413808,-70.6019947,17z/data=!3m1!4b1!4m6!3m5!1s0x9662cfac435bdaad:0x7ed19e2ff27dfbdf!8m2!3d-33.413808!4d-70.6019947!16s%2Fg%2F11h3swvrz_?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D","-33.413808","-70.6019947","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"La Flaca, Cocinería Chilena","4.5","19","Av. Apoquindo 2730, Las Condes, Región Metropolitana","(2) 2437 6668","https://laflaca.cl/","Restaurante","https://www.google.com/maps/place/La+Flaca,+Cociner%C3%ADa+Chilena/data=!4m7!3m6!1s0x9662c53939e3eebb:0xdc2e7676299d3b56!8m2!3d-33.4177122!4d-70.6013629!16s%2Fg%2F11c3tj92p4!19sChIJu-7jOTnFYpYRVjudKXZ2Ltw?authuser=0&hl=es-419&rclk=1","-33.4177122","-70.6013629","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"Chilenazo Las Condes","4.1","89","Av. Apoquindo 6226, 7561215 Las Condes, Región Metropolitana","(2) 2201 7162","https://www.chilenazorestaurant.cl/Locales/las-condes/","Restaurante","https://www.google.com/maps/place/Chilenazo+Las+Condes/data=!4m7!3m6!1s0x9662ceddb1a2b61f:0x2405a15bc5dbaf28!8m2!3d-33.4082051!4d-70.5663157!16s%2Fg%2F1td4frpk!19sChIJH7aisd3OYpYRKK_bxVuhBSQ?authuser=0&hl=es-419&rclk=1","-33.4082051","-70.5663157","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"La Perla del Pacífico","4.3","51","Av. Pdte. Kennedy 5413, 372 A, 7550000 Las Condes, Región Metropolitana","(2) 2656 7013","http://www.laperladelpacifico.cl/","Restaurante","https://www.google.com/maps/place/La+Perla+del+Pac%C3%ADfico/@-33.4022776,-70.5771918,17z/data=!3m1!4b1!4m6!3m5!1s0x9662cf3a8a5dcfad:0xf2ae9b520b7f2c33!8m2!3d-33.4022776!4d-70.5771918!16s%2Fg%2F11cjg5r3fw?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D","-33.4022776","-70.5771918","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"Nowa´s Cantina","4.3","89","Pdte. Riesco 5330, Local 103, 7560996 Santiago, Las Condes, Región Metropolitana","","http://www.nowascantina.cl/","Restaurante","https://www.google.com/maps/place/Nowa%C2%B4s+Cantina/@-33.4033611,-70.5751261,17z/data=!3m1!4b1!4m6!3m5!1s0x9662cfaeb22d158b:0x64a2d89a3e3c9c03!8m2!3d-33.4033611!4d-70.5751261!16s%2Fg%2F11shs_28h_?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D","-33.4033611","-70.5751261","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Sin teléfono","Sí","","","","","","","","","","","","","","","","Sin teléfono visible"
"Margó Isidora Goyenechea","4.4","88","Isidora Goyenechea 3000, S-101, Santiago, Las Condes, Región Metropolitana","(2) 2385 0178","http://margo.cl/","Restaurante","https://www.google.com/maps/place/Marg%C3%B3+Isidora+Goyenechea/@-33.4141182,-70.598816,17z/data=!3m1!4b1!4m6!3m5!1s0x9662cf406edb17b7:0xbfbe9d33a013c8e7!8m2!3d-33.4141182!4d-70.598816!16s%2Fg%2F11hdc40fpl?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D","-33.4141182","-70.598816","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"Black Chicken","4.8","69","Cerro El Plomo 5931, 7550000 Las Condes, Región Metropolitana","","http://www.blackchicken.cl/","Restaurante especializado en pollo","https://www.google.com/maps/place/Black+Chicken/@-33.4045086,-70.5704691,17z/data=!3m1!4b1!4m6!3m5!1s0x9662cb39191c9253:0xbe925edbd3daa79c!8m2!3d-33.4045086!4d-70.5704691!16s%2Fg%2F11l_dz254l?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D","-33.4045086","-70.5704691","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Sin teléfono","Sí","","","","","","","","","","","","","","","","Sin teléfono visible"
"Puerto Del Alto","4.4","13","Mirador del Alto - Av. Pdte. Kennedy 9001, Local 3235, 7591567 Las Condes, Región Metropolitana","(2) 2656 7012","http://www.puertodelalto.cl/","Restaurante","https://www.google.com/maps/place/Puerto+Del+Alto/@-33.3901082,-70.546859,17z/data=!3m1!4b1!4m6!3m5!1s0x9662ceb4360029b3:0xa5e9a254925036d5!8m2!3d-33.3901082!4d-70.546859!16s%2Fg%2F11f10bk9c0?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D","-33.3901082","-70.546859","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"Barra Chalaca - Alto Las Condes","4.6","338","Av. Pdte. Kennedy 9001, 7591567 Las Condes, Región Metropolitana","","https://barrachalaca.cl/","Restaurante","https://www.google.com/maps/place/Barra+Chalaca+-+Alto+Las+Condes/data=!4m7!3m6!1s0x9662cfe010e7fa67:0x74cccfebd6fa726f!8m2!3d-33.391703!4d-70.5459846!16s%2Fg%2F11w48hsbgx!19sChIJZ_rnEODPYpYRb3L61uvPzHQ?authuser=0&hl=es-419&rclk=1","-33.391703","-70.5459846","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Sin teléfono","Sí","","","","","","","","","","","","","","","","Sin teléfono visible"
