"Nombre restaurante","Rating","Cantidad reviews","Dirección","Teléfono","Sitio web","Categoría","Google Maps URL","Latitud","Longitud","Comuna","Región","País","Fuente","Fecha extracción","Calidad dato","Es restaurante válido","Instagram URL","Instagram Usuario","Facebook URL","TikTok URL","Tiene Redes","Calidad Redes","Está en Uber Eats","URL Uber Eats","Confianza Uber Eats","Está en PedidosYa","URL PedidosYa","Confianza PedidosYa","Está en Rappi","URL Rappi","Confianza Rappi","Observaciones"
"Antonia Lounge","4.7","197","Manuel de Salas 162, 7790789 Ñuñoa, Región Metropolitana","9 3910 4660","https://barrioplazanunoa.cl/v2/2024/06/14/antonia-lounge/","Restaurante","https://www.google.com/maps/place/Antonia+Lounge/data=!4m7!3m6!1s0x9662cf1795ab37af:0x26f0848757404258!8m2!3d-33.453623!4d-70.5933652!16s%2Fg%2F11sbhtqq6_!19sChIJrzerlRfPYpYRWEJAV4eE8CY?authuser=0&hl=es-419&rclk=1","-33.453623","-70.5933652","Ñuñoa","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","",""
"Ajiaco","4.5","794","Lic. de Las Peñas 5174, 7790713 Ñuñoa, Región Metropolitana","","https://www.instagram.com/elajiaconunoa/?hl=es-la","Restaurante","https://www.google.com/maps/place/Ajiaco/data=!4m7!3m6!1s0x9662cfb51b3099e3:0x6cddabfcf561183b!8m2!3d-33.4530569!4d-70.5764405!16s%2Fg%2F11c52k4vdw!19sChIJ45kwG7XPYpYROxhh9fyr3Ww?authuser=0&hl=es-419&rclk=1","-33.4530569","-70.5764405","Ñuñoa","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-25","Sin teléfono","Sí","","","","","","","","","","","","","","","","Sin teléfono visible"
"Peyo Restaurant","4.4","60","Lo Encalada 465, 7750200 Ñuñoa, Región Metropolitana","(2) 2506 4758","https://peyo.cl/","Restaurante chileno","https://www.google.com/maps/place/Peyo+Restaurant/data=!4m7!3m6!1s0x9662c5624b4feab9:0x3d815e7e459c8d2e!8m2!3d-33.456417!4d-70.6249084!16s%2Fg%2F1hjh8m92r!19sChIJuepPS2LFYpYRLo2cRX5egT0?authuser=0&hl=es-419&rclk=1","-33.456417","-70.6249084","Ñuñoa","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","",""
"Las Lanzas","4.2","57","Humberto Trucco 25, 7790825 Ñuñoa, Región Metropolitana","(2) 2225 5589","https://www.facebook.com/Las-Lanzas-Restaurant-y-Fuente-de-Soda-17409706655/","Restaurante","https://www.google.com/maps/place/Las+Lanzas/data=!4m7!3m6!1s0x9662cf12e26cfa4f:0xe640e0e62fb2f985!8m2!3d-33.4555253!4d-70.5942732!16s%2Fg%2F11g1lwc7x9!19sChIJT_ps4hLPYpYRhfmyL-bgQOY?authuser=0&hl=es-419&rclk=1","-33.4555253","-70.5942732","Ñuñoa","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","",""
"Golfo Di Napoli Trattoria e Pizzeria","4.6","12","Dublé Almeyda 2435, 7750147 Ñuñoa, Región Metropolitana","(2) 2341 3675","https://golfodinapoli.cl/","Restaurante italiano","https://www.google.com/maps/place/Golfo+Di+Napoli+Trattoria+e+Pizzeria/data=!4m7!3m6!1s0x9662cf916f827eaf:0x65a6a856994a5153!8m2!3d-33.455948!4d-70.605786!16s%2Fg%2F1tj1nqnk!19sChIJr36Cb5HPYpYRU1FKmVaopmU?authuser=0&hl=es-419&rclk=1","-33.455948","-70.605786","Ñuñoa","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","",""
"Barra de Pickles","4.6","653","San Eugenio 40, 7750011 Ñuñoa, Región Metropolitana","9 7539 0277","http://www.barradepickles.cl/","Restaurante","https://www.google.com/maps/place/Barra+de+Pickles/data=!4m7!3m6!1s0x9662c5b5cadac0a5:0xf1faf1d408e8024b!8m2!3d-33.4531138!4d-70.6278603!16s%2Fg%2F11q4dbx0fs!19sChIJpcDayrXFYpYRSwLoCNTx-vE?authuser=0&hl=es-419&rclk=1","-33.4531138","-70.6278603","Ñuñoa","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","",""
"Terraza Vergel","4.6","314","Av. Italia 1571, 7770207 Ñuñoa, Región Metropolitana","","https://instagram.com/terrazavergel?igshid=YmMyMTA2M2Y=","Restaurante","https://www.google.com/maps/place/Terraza+Vergel/data=!4m7!3m6!1s0x9662c5c15107efe9:0xdd9265eded43ee4c!8m2!3d-33.4490585!4d-70.624408!16s%2Fg%2F11kj0530d4!19sChIJ6e8HUcHFYpYRTO5D7e1lkt0?authuser=0&hl=es-419&rclk=1","-33.4490585","-70.624408","Ñuñoa","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-25","Sin teléfono","Sí","","","","","","","","","","","","","","","","Sin teléfono visible"
"Fuente Suiza","4.5","14","Av. Irarrázaval 3361, 7750000 Ñuñoa, Región Metropolitana","(2) 3278 8300","http://fuentesuiza.cl/","Restaurante","https://www.google.com/maps/place/Fuente+Suiza/data=!4m7!3m6!1s0x9662cfbe457deb03:0x1405588af3ee4e0a!8m2!3d-33.4553392!4d-70.596028!16s%2Fg%2F1tcvw1m5!19sChIJA-t9Rb7PYpYRCk7u84pYBRQ?authuser=0&hl=es-419&rclk=1","-33.4553392","-70.596028","Ñuñoa","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","",""
"¡Ay Mi Madre! Restobar Ñuñoa","4.5","220","Av. José Pedro Alessandri 97, 7750100 Ñuñoa, Región Metropolitana","9 4497 8597","https://linktr.ee/Aymimadrecl","Pub restaurante","https://www.google.com/maps/place/%C2%A1Ay+Mi+Madre!+Restobar+%C3%91u%C3%B1oa/data=!4m7!3m6!1s0x9662cfbbd4d3628f:0xcf2719bf0e7dbfb9!8m2!3d-33.4558301!4d-70.59807!16s%2Fg%2F11tf5fxjb9!19sChIJj2LT1LvPYpYRub99Dr8ZJ88?authuser=0&hl=es-419&rclk=1","-33.4558301","-70.59807","Ñuñoa","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","",""
"Good Restaurante","4.3","395","José Domingo Cañas 1917, 7750000 Ñuñoa, Región Metropolitana","(2) 2261 6101","https://www.instagram.com/goodrestaurante/","Bar restaurante","https://www.google.com/maps/place/Good+Restaurante/data=!4m7!3m6!1s0x9662cf8dea275df5:0x460e3f9a8a62dd7b!8m2!3d-33.4567244!4d-70.611154!16s%2Fg%2F11ckj6x78n!19sChIJ9V0n6o3PYpYRe91iipo_DkY?authuser=0&hl=es-419&rclk=1","-33.4567244","-70.611154","Ñuñoa","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","",""
