"Nombre restaurante","Rating","Cantidad reviews","Dirección","Teléfono","Sitio web","Categoría","Google Maps URL","Latitud","Longitud","Comuna","Región","País","Fuente","Fecha extracción","Calidad dato","Es restaurante válido","Instagram URL","Instagram Usuario","Facebook URL","TikTok URL","Tiene Redes","Calidad Redes","Está en Uber Eats","URL Uber Eats","Confianza Uber Eats","Está en PedidosYa","URL PedidosYa","Confianza PedidosYa","Está en Rappi","URL Rappi","Confianza Rappi","Observaciones"
"Lanzas y Fuego","4.3","102","Carrera 171, 3341737 Curicó, Maule","(75) 276 2665","http://www.lanzasyfuego.cl/","Restaurante especializado en barbacoa","https://www.google.com/maps/place/Lanzas+y+Fuego/data=!4m7!3m6!1s0x96645797d6a3d403:0x261665aea47f2fe0!8m2!3d-34.9851614!4d-71.2311832!16s%2Fg%2F11kb4rl__6!19sChIJA9Sj1pdXZJYR4C9_pK5lFiY?authuser=0&hl=es-419&rclk=1","-34.9851614","-71.2311832","Curicó","Maule","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","",""
"Mi Casa Restaurante","4.4","536","Peña 871, 3341566 Curicó, Maule","(75) 274 7095","https://www.facebook.com/Mi-Casa-Restaurante-167038006818879/","Restaurante chileno","https://www.google.com/maps/place/Mi+Casa+Restaurante/data=!4m7!3m6!1s0x9664570989291387:0xae7191c028006b89!8m2!3d-34.9819444!4d-71.2419444!16s%2Fg%2F11f08930gz!19sChIJhxMpiQlXZJYRiWsAKMCRca4?authuser=0&hl=es-419&rclk=1","-34.9819444","-71.2419444","Curicó","Maule","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","",""
"Andö","4.5","461","Av. España 109, 3340000 Curicó, Maule","(75) 226 0804","","Restaurante","https://www.google.com/maps/place/And%C3%B6/data=!4m7!3m6!1s0x966457af5186b1c3:0xf2d4ea5007c3a253!8m2!3d-34.9861433!4d-71.2290125!16s%2Fg%2F11dxdhgzk4!19sChIJw7GGUa9XZJYRU6LDB1Dq1PI?authuser=0&hl=es-419&rclk=1","-34.9861433","-71.2290125","Curicó","Maule","Chile","Google Maps web scraping con Playwright","2026-05-25","Parcial","Sí","","","","","","","","","","","","","","","",""
"Restaurant Mi Perú Curicó","4.7","486","yungay 767 Curicó, 3340000 Maule, Curicó, Maule","(75) 234 2987","http://www.miperu.cl/","Restaurante peruano","https://www.google.com/maps/place/Restaurant+Mi+Per%C3%BA+Curic%C3%B3/data=!4m7!3m6!1s0x966457e056870285:0x37b9a0af8159ac3a!8m2!3d-34.9829755!4d-71.2404993!16s%2Fg%2F11h4lcbpfb!19sChIJhQKHVuBXZJYROqxZga-guTc?authuser=0&hl=es-419&rclk=1","-34.9829755","-71.2404993","Curicó","Maule","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","",""
"Restaurant Polinesia","4.3","84","Cam. A Licantén 1455, 3340000 Curicó, Maule","9 7527 5435","https://www.instagram.com/restaurant_polinesia/?igshid=YmMyMTA2M2Y=","Restaurante","https://www.google.com/maps/place/Restaurant+Polinesia/data=!4m7!3m6!1s0x966457711abd2c91:0x32c8d699eabb9281!8m2!3d-34.9770753!4d-71.2550231!16s%2Fg%2F11tdlbm90_!19sChIJkSy9GnFXZJYRgZK76pnWyDI?authuser=0&hl=es-419&rclk=1","-34.9770753","-71.2550231","Curicó","Maule","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","",""
"Restaurante Inti Pehuen Curico","4.8","26","Av. Manuel Labra Lillo 350, 3340001 Curicó, Maule","9 2198 7124","https://www.instagram.com/intipehuencurico?igsh=MTkwY2tmZzd0Y3cwMQ==","Restaurante","https://www.google.com/maps/place/Restaurante+Inti+Pehuen+Curico/data=!4m7!3m6!1s0x966457000f16e50d:0x658865810c1db26e!8m2!3d-34.9869479!4d-71.2136668!16s%2Fg%2F11vk4l61n8!19sChIJDeUWDwBXZJYRbrIdDIFliGU?authuser=0&hl=es-419&rclk=1","-34.9869479","-71.2136668","Curicó","Maule","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","",""
"Teno Sandwich (Romeral)","4.2","65","longitudinal sur km 175 poniente Longitudinal sur, oriente km 185, 3360000 Curicó, Romeral, Maule","9 7997 7753","http://www.tenosandwich.cl/","Restaurante","https://www.google.com/maps/place/Teno+Sandwich+%28Romeral%29/data=!4m7!3m6!1s0x9664f6f55e19d58d:0x3e9f6469045f5d1c!8m2!3d-34.9594937!4d-71.1902941!16s%2Fg%2F11bxf59sbh!19sChIJjdUZXvX2ZJYRHF1fBGlknz4?authuser=0&hl=es-419&rclk=1","-34.9594937","-71.1902941","Curicó","Maule","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","","Revisar: parece sandwich"
"HIKI STREET FOOD","4.9","39","Argomedo 535, 3341862 Curicó, Maule","9 7147 7257","https://www.instagram.com/hiki_street_food/","Restaurante","https://www.google.com/maps/place/HIKI+STREET+FOOD/data=!4m7!3m6!1s0x9664575bf19b8bf9:0x87934df94f146b1d!8m2!3d-34.987194!4d-71.2418365!16s%2Fg%2F11s1rtmpl9!19sChIJ-Yub8VtXZJYRHWsUT_lNk4c?authuser=0&hl=es-419&rclk=1","-34.987194","-71.2418365","Curicó","Maule","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","",""
"Restaurante Oveja huasa","4.7","32","Los Olivos 226, 3340000 Curicó, Maule","9 6553 7030","http://www.ovejahuasa.cl/","Restaurante chileno","https://www.google.com/maps/place/Restaurante+Oveja+huasa/data=!4m7!3m6!1s0x966457e1225f383f:0x361e5e6dd7901317!8m2!3d-34.9741027!4d-71.2177091!16s%2Fg%2F11v3sv_834!19sChIJPzhfIuFXZJYRFxOQ121eHjY?authuser=0&hl=es-419&rclk=1","-34.9741027","-71.2177091","Curicó","Maule","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","",""
"Restaurante Pasion Limeña","4.3","329","Villota 639, 8320000 Curicó, Maule","(75) 274 7311","","Restaurante peruano","https://www.google.com/maps/place/Restaurante+Pasion+Lime%C3%B1a/data=!4m7!3m6!1s0x96645716d1584e13:0xe23d5c70d69aec44!8m2!3d-34.9884289!4d-71.2430858!16s%2Fg%2F11j3wh0bb1!19sChIJE05Y0RZXZJYRROya1nBcPeI?authuser=0&hl=es-419&rclk=1","-34.9884289","-71.2430858","Curicó","Maule","Chile","Google Maps web scraping con Playwright","2026-05-25","Parcial","Sí","","","","","","","","","","","","","","","",""
