"Nombre restaurante","Rating","Cantidad reviews","Dirección","Teléfono","Sitio web","Categoría","Google Maps URL","Latitud","Longitud","Comuna","Región","País","Fuente","Fecha extracción","Calidad dato","Es restaurante válido","Instagram URL","Instagram Usuario","Facebook URL","TikTok URL","Tiene Redes","Calidad Redes","Está en Uber Eats","URL Uber Eats","Confianza Uber Eats","Está en PedidosYa","URL PedidosYa","Confianza PedidosYa","Está en Rappi","URL Rappi","Confianza Rappi","Observaciones"
"Nativo La Reina","4.6","456","Av. Príncipe de Gales 9140, 7860491 La Reina, Región Metropolitana","9 9098 4332","http://nativobar.cl/","Bar restaurante","https://www.google.com/maps/place/Nativo+La+Reina/@-33.4399398,-70.5352481,17z/data=!3m1!4b1!4m6!3m5!1s0x9662cf98005e3acf:0xb38e80ec60c96241!8m2!3d-33.4399398!4d-70.5352481!16s%2Fg%2F11jsy_22np?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D","-33.4399398","-70.5352481","La Reina","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"Rishtedar La Reina","4.6","62","Av. Príncipe de Gales 6500, 7850286 La Reina, Región Metropolitana","(2) 3235 9977","https://www.rishtedar.cl/","Restaurante indio","https://www.google.com/maps/place/Rishtedar+La+Reina/data=!4m7!3m6!1s0x9662cfef049c5a59:0x62d7e0cee1a1dfbe!8m2!3d-33.4381564!4d-70.5647696!16s%2Fg%2F11mpclnd94!19sChIJWVqcBO_PYpYRvt-h4c7g12I?authuser=0&hl=es-419&rclk=1","-33.4381564","-70.5647696","La Reina","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"Restaurante Peruano Mar Azul - La Reina","4.6","84","Av. Ossa 2294, 7850054 La Reina, Región Metropolitana","9 6520 5381","https://instagram.com/marazul_lareina?igshid=YmMyMTA2M2Y=","Restaurante peruano","https://www.google.com/maps/place/Restaurante+Peruano+Mar+Azul+-+La+Reina/data=!4m7!3m6!1s0x9662cfd6a982ad4f:0x3ef9442dc655264c!8m2!3d-33.4318791!4d-70.574902!16s%2Fg%2F11rz4qssd2!19sChIJT62CqdbPYpYRTCZVxi1E-T4?authuser=0&hl=es-419&rclk=1","-33.4318791","-70.574902","La Reina","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"Majka bistro","4.5","378","Av. Príncipe de Gales 7102, 7850291 La Reina, Región Metropolitana","9 9349 8825","http://www.majka.bistro.cl/","Restaurante","https://www.google.com/maps/place/Majka+bistro/data=!4m7!3m6!1s0x9662cf0998558ffb:0xa642f0ef4fafcc28!8m2!3d-33.4386378!4d-70.5580849!16s%2Fg%2F11tj6jsqrx!19sChIJ-49VmAnPYpYRKMyvT-_wQqY?authuser=0&hl=es-419&rclk=1","-33.4386378","-70.5580849","La Reina","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"MANTO Restaurant","4.5","84","Av. Alcalde Fernando Castillo Velasco 9047, La Reina, Región Metropolitana","9 2204 7306","https://instagram.com/mantorestaurant?utm_medium=copy_link","Restaurante","https://www.google.com/maps/place/MANTO+Restaurant/data=!4m7!3m6!1s0x9662cfcbb11141c9:0x35a4bac8a7ee582a!8m2!3d-33.4519618!4d-70.538348!16s%2Fg%2F11srb13rs3!19sChIJyUERscvPYpYRKljup8i6pDU?authuser=0&hl=es-419&rclk=1","-33.4519618","-70.538348","La Reina","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"La Fuente Reina","4.1","64","Av. Echeñique 8540, La Reina, Región Metropolitana","9 3239 7261","http://www.lafuentereina.cl/","Restaurante","https://www.google.com/maps/place/La+Fuente+Reina/@-33.4416745,-70.5430468,17z/data=!3m1!4b1!4m6!3m5!1s0x9662ce6ee23a6d41:0x428d73a4f02fff8b!8m2!3d-33.4416745!4d-70.5430468!16s%2Fg%2F11b8_pfyv2?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D","-33.4416745","-70.5430468","La Reina","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"Restaurante Criollo Internacional | El Patio Echeñique | Lounge Bar","3.7","698","Av. Echeñique 6315, 7850434 La Reina, Región Metropolitana","9 5803 5115","","Restaurante","https://www.google.com/maps/place/Restaurante+Criollo+Internacional+%7C+El+Patio+Eche%C3%B1ique+%7C+Lounge+Bar/data=!4m7!3m6!1s0x9662cfe8e5c3ded5:0x4bb76a377dd89198!8m2!3d-33.4450936!4d-70.5660145!16s%2Fg%2F11tcv3fwx0!19sChIJ1d7D5ejPYpYRmJHYfTdqt0s?authuser=0&hl=es-419&rclk=1","-33.4450936","-70.5660145","La Reina","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Parcial","Sí","","","","","","","","","","","","","","","",""
"Mirá Vos - La Reina","4.4","184","Carlos Ossandón 75, 7500000 La Reina, Región Metropolitana","(55) 294 3434","http://www.miravos.cl/","Restaurante","https://www.google.com/maps/place/Mir%C3%A1+Vos+-+La+Reina/data=!4m7!3m6!1s0x9662cf74d37d9353:0x64bc36c209e55d0a!8m2!3d-33.4494895!4d-70.5434544!16s%2Fg%2F11v3_77_yz!19sChIJU5N903TPYpYRCl3lCcI2vGQ?authuser=0&hl=es-419&rclk=1","-33.4494895","-70.5434544","La Reina","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"Caleta La Reina","4.4","697","Valenzuela Llanos 1358, 7860075 La Reina, Región Metropolitana","(2) 2993 5498","https://www.caletalareina.cl/","Restaurante","https://www.google.com/maps/place/Caleta+La+Reina/@-33.4399483,-70.5333349,17z/data=!3m1!4b1!4m6!3m5!1s0x9662ce70da1a5c9b:0x8953fc9ad2c0866e!8m2!3d-33.4399483!4d-70.5333349!16s%2Fg%2F11dxq2tymz?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D","-33.4399483","-70.5333349","La Reina","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"La Fuente Carrera","4.7","42","Av. Larraín 6097, 7870187 La Reina, Región Metropolitana","9 9520 8103","https://lafuentecarrera.cl/","Restaurante","https://www.google.com/maps/place/La+Fuente+Carrera/@-33.4533085,-70.5668294,17z/data=!3m1!4b1!4m6!3m5!1s0x9662cfeb359d9aed:0x3ca0a354368ab903!8m2!3d-33.4533085!4d-70.5668294!16s%2Fg%2F11jj4zp3qz?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D","-33.4533085","-70.5668294","La Reina","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"El Fogón del Gaucho","4.3","51","Av. Echeñique 6483, 7850420 La Reina, Región Metropolitana","(2) 2226 5583","http://fogondelgaucho.cl/","Restaurante","https://www.google.com/maps/place/El+Fog%C3%B3n+del+Gaucho/data=!4m7!3m6!1s0x9662ce7185a04db3:0x4b8ad831d51e6612!8m2!3d-33.4448001!4d-70.5645338!16s%2Fg%2F1vv2tfr7!19sChIJs02ghXHOYpYREmYe1THYiks?authuser=0&hl=es-419&rclk=1","-33.4448001","-70.5645338","La Reina","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"Vecchia Casa restobar","4.6","476","Av. Larraín 6026, 7870125 La Reina, Región Metropolitana","9 7931 2095","https://vecchiacasarestobar.cl/","Restaurante","https://www.google.com/maps/place/Vecchia+Casa+restobar/data=!4m7!3m6!1s0x9662ce49f124307b:0x59b109a9939ed6bc!8m2!3d-33.4531048!4d-70.5676562!16s%2Fg%2F11bvt187pp!19sChIJezAk8UnOYpYRvNaek6kJsVk?authuser=0&hl=es-419&rclk=1","-33.4531048","-70.5676562","La Reina","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"Casa Pacifico","4.9","56","Carlos Silva Vildósola 9323, Local 201, 7860379 La Reina, Región Metropolitana","9 9378 9115","","Restaurante","https://www.google.com/maps/place/Casa+Pacifico/@-33.4408983,-70.5334422,17z/data=!3m1!4b1!4m6!3m5!1s0x9662cf480e4ced61:0x505493b78ac03af!8m2!3d-33.4408983!4d-70.5334422!16s%2Fg%2F11md3pvkwt?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D","-33.4408983","-70.5334422","La Reina","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Parcial","Sí","","","","","","","","","","","","","","","",""
"Restaurant Nan Fang La reina","4.6","435","Aguas Claras 1601, 7850327 La Reina, Región Metropolitana","(2) 2227 7596","http://www.restaurantnanfang.cl/","Restaurante chino","https://www.google.com/maps/place/Restaurant+Nan+Fang+La+reina/data=!4m7!3m6!1s0x9662ce5b153ede8d:0x4587872a3c76776a!8m2!3d-33.4402615!4d-70.5572938!16s%2Fg%2F1tykwlnf!19sChIJjd4-FVvOYpYRand2PCqHh0U?authuser=0&hl=es-419&rclk=1","-33.4402615","-70.5572938","La Reina","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"Casa Valerio Restaurant","4.4","64","Av. Larraín 6580, 7870165 La Reina, Región Metropolitana","(2) 2699 6349","https://casavalerio.cl/","Restaurante peruano","https://www.google.com/maps/place/Casa+Valerio+Restaurant/@-33.4522001,-70.5618285,17z/data=!3m1!4b1!4m6!3m5!1s0x9662c5ad21577f41:0xba98ab0e8dbffc96!8m2!3d-33.4522001!4d-70.5618285!16s%2Fg%2F11b_2njgy4?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D","-33.4522001","-70.5618285","La Reina","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"La Cabrera Al Paso Egaña","4.8","481","Av. Larraín 5862, 7870154 La Reina, Región Metropolitana","9 3357 9943","http://lacabreraalpaso.cl/","Restaurante especializado en barbacoa","https://www.google.com/maps/place/La+Cabrera+Al+Paso+Ega%C3%B1a/data=!4m7!3m6!1s0x9662cf00018543bd:0xa745b446141cd7d0!8m2!3d-33.4522161!4d-70.5691478!16s%2Fg%2F11lydt55qj!19sChIJvUOFAQDPYpYR0NccFEa0Rac?authuser=0&hl=es-419&rclk=1","-33.4522161","-70.5691478","La Reina","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"Alemán Experto La Reina","4.6","704","Av. Ossa 655, 7870053 La Reina, Región Metropolitana","9 5451 1718","https://www.alemanexperto.cl/","Restaurante","https://www.google.com/maps/place/Alem%C3%A1n+Experto+La+Reina/data=!4m7!3m6!1s0x9662cf3cb647e3db:0x9eade190733dd480!8m2!3d-33.4476738!4d-70.5712117!16s%2Fg%2F11l72v5qy1!19sChIJ2-NHtjzPYpYRgNQ9c5DhrZ4?authuser=0&hl=es-419&rclk=1","-33.4476738","-70.5712117","La Reina","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"La Fonda Paisa Terraza Bar","4.2","206","Av. Alcalde Fernando Castillo Velasco 8517, 7860367 La Reina, Región Metropolitana","9 2046 7417","","Bar restaurante","https://www.google.com/maps/place/La+Fonda+Paisa+Terraza+Bar/@-33.4514878,-70.5428287,17z/data=!3m1!4b1!4m6!3m5!1s0x9662cf5e15dd6799:0xfd6686523076d5a1!8m2!3d-33.4514878!4d-70.5428287!16s%2Fg%2F11ppjntz69?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D","-33.4514878","-70.5428287","La Reina","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Parcial","Sí","","","","","","","","","","","","","","","",""
"El DUO","4.6","647","Av. Larraín 6367, 7870176 La Reina, Región Metropolitana","9 5324 4393","https://www.elduorestaurant.cl/","Restaurante","https://www.google.com/maps/place/El+DUO/data=!4m7!3m6!1s0x9662ce483b4a011b:0x1321b75deaa90219!8m2!3d-33.4530421!4d-70.5639659!16s%2Fg%2F11cns8g5z6!19sChIJGwFKO0jOYpYRGQKp6l23IRM?authuser=0&hl=es-419&rclk=1","-33.4530421","-70.5639659","La Reina","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"Lima Limón La Reina","4.3","43","Av. Príncipe de Gales 7218, 7850291 La Reina, Región Metropolitana","(2) 2839 0285","http://www.limalimonrest.cl/","Restaurante peruano","https://www.google.com/maps/place/Lima+Lim%C3%B3n+La+Reina/@-33.4386034,-70.5572379,17z/data=!3m1!4b1!4m6!3m5!1s0x9662ce5b7f2954d1:0xe7f1362d3d2bd41b!8m2!3d-33.4386034!4d-70.5572379!16s%2Fg%2F11c0vldmsf?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D","-33.4386034","-70.5572379","La Reina","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"El Japonés - MallPlaza Egaña","4.8","40","Av. Larraín 5862, 7870154 La Reina, Región Metropolitana","","https://eljaponeschile.com/locales/","Restaurante","https://www.google.com/maps/place/El+Japon%C3%A9s+-+MallPlaza+Ega%C3%B1a/@-33.4524377,-70.5694704,17z/data=!3m1!4b1!4m6!3m5!1s0x9662cf85bf55bc7d:0xdc8042e989203a0b!8m2!3d-33.4524377!4d-70.5694704!16s%2Fg%2F11shx7yg7v?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D","-33.4524377","-70.5694704","La Reina","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Sin teléfono","Sí","","","","","","","","","","","","","","","","Sin teléfono visible"
"Mattarello","4.2","44","Av. Príncipe de Gales 6560, 7850000 La Reina, Región Metropolitana","9 5818 0896","http://www.mattarello.cl/","Restaurante italiano","https://www.google.com/maps/place/Mattarello/data=!4m7!3m6!1s0x9662ce50c17b5211:0x7401100e212ac2cd!8m2!3d-33.4383135!4d-70.5641203!16s%2Fg%2F11gfdv9jck!19sChIJEVJ7wVDOYpYRzcIqIQ4QAXQ?authuser=0&hl=es-419&rclk=1","-33.4383135","-70.5641203","La Reina","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"El Gordito","4.2","518","Av. Larraín 6011, 7870203 La Reina, Región Metropolitana","9 6663 3388","https://www.instagram.com/elgorditotenedorlibr?igsh=MWNyb2ZrazdxMXB1dA==","Restaurante","https://www.google.com/maps/place/El+Gordito/@-33.4535739,-70.5678384,17z/data=!3m1!4b1!4m6!3m5!1s0x9662cfc00f2689bb:0x6828f0b054308a05!8m2!3d-33.4535739!4d-70.5678384!16s%2Fg%2F11lnjxsn6g?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D","-33.4535739","-70.5678384","La Reina","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"Sol Sublime Restaurant","4.5","678","Av. Príncipe de Gales 6580, 7850286 Santiago, La Reina, Región Metropolitana","(2) 2226 1145","http://www.solsublime.cl/","Restaurante","https://www.google.com/maps/place/Sol+Sublime+Restaurant/@-33.4383546,-70.563731,17z/data=!3m1!4b1!4m6!3m5!1s0x9662ce50d8cacb11:0xddaab3805dc26123!8m2!3d-33.4383546!4d-70.563731!16s%2Fg%2F11b5wffrkb?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D","-33.4383546","-70.563731","La Reina","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"Sabores de Lima","4.5","636","Av. Nueva - Av. Alcalde Fernando Castillo Velasco 9097, 7850000 La Reina, Región Metropolitana","(2) 2275 3068","http://www.saboresdelima.cl/","Restaurante peruano","https://www.google.com/maps/place/Sabores+de+Lima/@-33.4521068,-70.5379765,17z/data=!3m1!4b1!4m6!3m5!1s0x9662ce0d786dcbdf:0x9dade29717f28e9c!8m2!3d-33.4521068!4d-70.5379765!16s%2Fg%2F11g8pbzph6?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D","-33.4521068","-70.5379765","La Reina","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"El cha cha pollo","4.7","184","Av. Larraín 6812, 7850000 La Reina, Región Metropolitana","9 4750 2847","https://elchachapollo.cl/","Restaurante de comida rápida","https://www.google.com/maps/place/El+cha+cha+pollo/data=!4m7!3m6!1s0x9662cf2357297345:0xcb53e6f5eec1f4cb!8m2!3d-33.4520411!4d-70.5592535!16s%2Fg%2F11nnt2t649!19sChIJRXMpVyPPYpYRy_TB7vXmU8s?authuser=0&hl=es-419&rclk=1","-33.4520411","-70.5592535","La Reina","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","","Revisar: parece comida rapida"
