"Nombre restaurante","Rating","Cantidad reviews","Dirección","Teléfono","Sitio web","Categoría","Google Maps URL","Latitud","Longitud","Comuna","Región","País","Fuente","Fecha extracción","Calidad dato","Es restaurante válido","Instagram URL","Instagram Usuario","Facebook URL","TikTok URL","Tiene Redes","Calidad Redes","Está en Uber Eats","URL Uber Eats","Confianza Uber Eats","Está en PedidosYa","URL PedidosYa","Confianza PedidosYa","Está en Rappi","URL Rappi","Confianza Rappi","Observaciones"
"Trattoria Valerio - Pizzas & Pastas","4.7","80","Sgto. Candelaria Pérez 10661, La Florida, Región Metropolitana","9 4260 8395","","Restaurante","https://www.google.com/maps/place/Trattoria+Valerio+-+Pizzas+%26+Pastas/@-33.5564369,-70.5865183,17z/data=!3m1!4b1!4m6!3m5!1s0x9662d1b23d025fb7:0x7dbdf26df96b5f4a!8m2!3d-33.5564369!4d-70.5865183!16s%2Fg%2F11h3kchwvb?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D","-33.5564369","-70.5865183","La Florida","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Parcial","Sí","","","","","","","","","","","","","","","",""
"PITUCOPE RESTAURANT PERUANO","4.9","15","Av. Vicuña Mackenna 10046, La Florida, Región Metropolitana","9 5338 4325","https://pitucope-2.ola.click/","Restaurante peruano","https://www.google.com/maps/place/PITUCOPE+RESTAURANT+PERUANO/data=!4m7!3m6!1s0x9662d1f3ea9802bd:0xb96e888d0cfe64f!8m2!3d-33.54853!4d-70.5868698!16s%2Fg%2F11txb626fm!19sChIJvQKY6vPRYpYRT-bP0Ijolgs?authuser=0&hl=es-419&rclk=1","-33.54853","-70.5868698","La Florida","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"El Nomade Cevicheria","4.9","55","AVENIDA SAN JOSE DE LA ESTRELLA 301f, 8301008 La Florida, Región Metropolitana","9 6357 7180","https://instagram.com/elnomade_cevicheria","Restaurante","https://www.google.com/maps/place/El+Nomade+Cevicheria/@-33.5534033,-70.5832872,17z/data=!3m1!4b1!4m6!3m5!1s0x9662d12a163492e5:0xa48e479f19d80dcf!8m2!3d-33.5534033!4d-70.5832872!16s%2Fg%2F11s8c5t1wk?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D","-33.5534033","-70.5832872","La Florida","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"CABIMAS TASTY FOOD","4.5","178","Av. Vicuña Mackenna Ote. 10588, 8301048 La Florida, Región Metropolitana","9 7346 7961","http://www.cabimastastyfood.cl/","Restaurante","https://www.google.com/maps/place/CABIMAS+TASTY+FOOD/@-33.5548557,-70.5860092,17z/data=!3m1!4b1!4m6!3m5!1s0x9662d1dacc48255b:0x6d53e79d90e8d33a!8m2!3d-33.5548557!4d-70.5860092!16s%2Fg%2F11vrz4mx5h?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D","-33.5548557","-70.5860092","La Florida","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"La picá de la cubana","4.8","43","C. Uno 24, La Florida, Región Metropolitana","9 4949 7966","https://www.facebook.com/profile.php?id=100064169197549&mibextid=ZbWKwL","Restaurante","https://www.google.com/maps/place/La+pic%C3%A1+de+la+cubana/data=!4m7!3m6!1s0x9662d10af3430c87:0x7291ecff6e8734a3!8m2!3d-33.560027!4d-70.5845971!16s%2Fg%2F11rn7t5jdv!19sChIJhwxD8wrRYpYRozSHbv_skXI?authuser=0&hl=es-419&rclk=1","-33.560027","-70.5845971","La Florida","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"Aquí E’","4.7","69","Sgto. Candelaria Pérez 10693, 8310309 La Florida, Región Metropolitana","9 9250 7960","","Restaurante","https://www.google.com/maps/place/Aqu%C3%AD+E%E2%80%99/data=!4m7!3m6!1s0x9662d16caadbd913:0xf4e8696dcf47dc21!8m2!3d-33.5571101!4d-70.5864892!16s%2Fg%2F11s5b_5mdy!19sChIJE9nbqmzRYpYRIdxHz21p6PQ?authuser=0&hl=es-419&rclk=1","-33.5571101","-70.5864892","La Florida","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Parcial","Sí","","","","","","","","","","","","","","","",""
"La Caleta de Don Chuma","4.3","249","Av. Vicuña Mackenna 10197, Local 3, La Florida, Región Metropolitana","(2) 2614 5107","","Restaurante","https://www.google.com/maps/place/La+Caleta+de+Don+Chuma/data=!4m7!3m6!1s0x9662d0c521288777:0x43817670a73eee44!8m2!3d-33.551873!4d-70.587242!16s%2Fg%2F11ddxvpj91!19sChIJd4coIcXQYpYRRO4-p3B2gUM?authuser=0&hl=es-419&rclk=1","-33.551873","-70.587242","La Florida","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Parcial","Sí","","","","","","","","","","","","","","","",""
"COCINERIA DONDE YOYO'S","4.8","07","Av. La Florida 9233, 8242051 La Florida, Región Metropolitana","9 7354 5215","","Restaurante chileno","https://www.google.com/maps/place/COCINERIA+DONDE+YOYO%27S/data=!4m7!3m6!1s0x9662d1d95c833fd9:0x3c68e41dd033ed33!8m2!3d-33.5371433!4d-70.5731178!16s%2Fg%2F11p5s69mwx!19sChIJ2T-DXNnRYpYRM-0z0B3kaDw?authuser=0&hl=es-419&rclk=1","-33.5371433","-70.5731178","La Florida","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Parcial","Sí","","","","","","","","","","","","","","","",""
"Restaurante Punta Brasa La Florida","4.2","66","Palena 3152, 8240000 La Florida, Región Metropolitana","(2) 2669 3751","http://www.puntabrasa.cl/","Restaurante","https://www.google.com/maps/place/Restaurante+Punta+Brasa+La+Florida/@-33.5179138,-70.563385,17z/data=!3m1!4b1!4m6!3m5!1s0x9662cfa4d8996d17:0xff23c0d1e494ab08!8m2!3d-33.5179138!4d-70.563385!16s%2Fg%2F11s63xjxk7?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D","-33.5179138","-70.563385","La Florida","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Completo","Sí","","","","","","","","","","","","","","","",""
"Restaurant La Abuely","4.0","563","Av. Vicuña Mackenna 9987, 8250721 La Florida, Región Metropolitana","9 3696 6118","","Restaurante","https://www.google.com/maps/place/Restaurant+La+Abuely/data=!4m7!3m6!1s0x9662d0c49efb8c47:0xaab136974c576b03!8m2!3d-33.5491741!4d-70.5876885!16s%2Fg%2F11g6yz_6gb!19sChIJR4z7nsTQYpYRA2tXTJc2sao?authuser=0&hl=es-419&rclk=1","-33.5491741","-70.5876885","La Florida","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-24","Parcial","Sí","","","","","","","","","","","","","","","",""
