"Nombre restaurante","Rating","Cantidad reviews","Dirección","Teléfono","Sitio web","Categoría","Google Maps URL","Latitud","Longitud","Comuna","Región","País","Fuente","Fecha extracción","Calidad dato","Es restaurante válido","Instagram URL","Instagram Usuario","Facebook URL","TikTok URL","Tiene Redes","Calidad Redes","Está en Uber Eats","URL Uber Eats","Confianza Uber Eats","Está en PedidosYa","URL PedidosYa","Confianza PedidosYa","Está en Rappi","URL Rappi","Confianza Rappi","Observaciones"
"Restaurante 3 Regiones","4.6","279","Av. Argentina 431, 3820572 Chillán, Ñuble","9 6417 7736","","Restaurante peruano","https://www.google.com/maps/place/Restaurante+3+Regiones/data=!4m7!3m6!1s0x9668d757623c17bb:0xf348bc1a5fa133b8!8m2!3d-36.6078265!4d-72.092205!16s%2Fg%2F11qbr9886l!19sChIJuxc8YlfXaJYRuDOhXxq8SPM?authuser=0&hl=es-419&rclk=1","-36.6078265","-72.092205","Chillán","Ñuble","Chile","Google Maps web scraping con Playwright","2026-05-25","Parcial","Sí","","","","","","","","","","","","","","","",""
"Vita Wines House, Casa de vinos","4.8","93","Los Mallines 208, 3800146 Chillán, Ñuble","9 9933 2606","https://vitawines.cl/","Restaurante","https://www.google.com/maps/place/Vita+Wines+House,+Casa+de+vinos/data=!4m7!3m6!1s0x9668d786459af0b9:0xff81c3a3610f9d43!8m2!3d-36.5928329!4d-72.1037306!16s%2Fg%2F11k9zc5rwv!19sChIJufCaRYbXaJYRQ50PYaPDgf8?authuser=0&hl=es-419&rclk=1","-36.5928329","-72.1037306","Chillán","Ñuble","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","",""
"Volcano Restaurant","4.5","184","Casino marina del sol - Variante Nahueltoro 251, local 2, 3820572 Chillán, Ñuble","9 5827 1755","http://www.volcanorestaurant.cl/","Restaurante","https://www.google.com/maps/place/Volcano+Restaurant/data=!4m7!3m6!1s0x9668d7ba06c77f91:0x6f3eb74ac17461d!8m2!3d-36.5609654!4d-72.0933011!16s%2Fg%2F11k56967tb!19sChIJkX_HBrrXaJYRHUYXrHTr8wY?authuser=0&hl=es-419&rclk=1","-36.5609654","-72.0933011","Chillán","Ñuble","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","",""
"Restaurant El Chapu","4.4","822","Las Rosas 641, Chillán, Biobío","9 9711 3623","","Restaurante","https://www.google.com/maps/place/Restaurant+El+Chapu/data=!4m7!3m6!1s0x9669ca19b111c019:0x70fd64e57055940c!8m2!3d-36.611892!4d-72.0821374!16s%2Fg%2F1tgwc36w!19sChIJGcARsRnKaZYRDJRVcOVk_XA?authuser=0&hl=es-419&rclk=1","-36.611892","-72.0821374","Chillán","Ñuble","Chile","Google Maps web scraping con Playwright","2026-05-25","Parcial","Sí","","","","","","","","","","","","","","","",""
"Restaurant Punto Limeño","4.5","66","Carrera 148, 3800469 Chillán, Ñuble","9 5400 2625","","Restaurante peruano","https://www.google.com/maps/place/Restaurant+Punto+Lime%C3%B1o/data=!4m7!3m6!1s0x9668d7df00000001:0x186a91f217b358e9!8m2!3d-36.6011131!4d-72.1038751!16s%2Fg%2F11c1x38b8j!19sChIJAQAAAN_XaJYR6VizF_KRahg?authuser=0&hl=es-419&rclk=1","-36.6011131","-72.1038751","Chillán","Ñuble","Chile","Google Maps web scraping con Playwright","2026-05-25","Parcial","Sí","","","","","","","","","","","","","","","",""
"Restaurante Sabor a Mar","4.5","291","Francia 207, 3801057 Chillán, Ñuble","(42) 232 8905","","Restaurante","https://www.google.com/maps/place/Restaurante+Sabor+a+Mar/data=!4m7!3m6!1s0x9668d7ce40d1aee7:0xcc4e547731967766!8m2!3d-36.5967373!4d-72.1019622!16s%2Fg%2F11c67qwdz6!19sChIJ567RQM7XaJYRZneWMXdUTsw?authuser=0&hl=es-419&rclk=1","-36.5967373","-72.1019622","Chillán","Ñuble","Chile","Google Maps web scraping con Playwright","2026-05-25","Parcial","Sí","","","","","","","","","","","","","","","",""
"Restaurante ""Rocas""","4.4","484","Av. Libertad 684, Chillán, Ñuble","9 4188 5321","","Restaurante","https://www.google.com/maps/place/Restaurante+%22Rocas%22/data=!4m7!3m6!1s0x9668d779cbadee3f:0x7c331be78e0b9dd1!8m2!3d-36.6067519!4d-72.1011348!16s%2Fg%2F11h2jmqsjv!19sChIJP-6ty3nXaJYR0Z0LjucbM3w?authuser=0&hl=es-419&rclk=1","-36.6067519","-72.1011348","Chillán","Ñuble","Chile","Google Maps web scraping con Playwright","2026-05-25","Parcial","Sí","","","","","","","","","","","","","","","",""
"Restaurante La Motoneta","4.4","90","Km 7. ruta Termas de Chillán (N-55), Chillán, Ñuble","9 7148 0052","http://www.lamotoneta.cl/","Restaurante","https://www.google.com/maps/place/Restaurante+La+Motoneta/data=!4m7!3m6!1s0x9669299c4b2bf56f:0xa1dd1bdc838da646!8m2!3d-36.6419948!4d-72.062745!16s%2Fg%2F11g9qvdn6g!19sChIJb_UrS5wpaZYRRqaNg9wb3aE?authuser=0&hl=es-419&rclk=1","-36.6419948","-72.062745","Chillán","Ñuble","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","",""
"Bar Prócer","4.9","545","Casino Marina del Sol, 3780000 Chillán, Ñuble","9 5206 6540","http://www.instagram.com/barprocer","Restaurante","https://www.google.com/maps/place/Bar+Pr%C3%B3cer/data=!4m7!3m6!1s0x9668d7e46a1c3a9f:0xd4b92823219ba1d0!8m2!3d-36.5603212!4d-72.0933141!16s%2Fg%2F11r_xh1py5!19sChIJnzocauTXaJYR0KGbISMoudQ?authuser=0&hl=es-419&rclk=1","-36.5603212","-72.0933141","Chillán","Ñuble","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","",""
"Restaurante El Faro","4.2","438","Claudio Arrau 185, 3820572 Chillán, Ñuble","(42) 224 8409","http://elfarochillan.cl/","Restaurante","https://www.google.com/maps/place/Restaurante+El+Faro/data=!4m7!3m6!1s0x9668d7d08707087b:0xa8c8a930456dfcb8!8m2!3d-36.6012984!4d-72.1053224!16s%2Fg%2F11yk5dlr5!19sChIJewgHh9DXaJYRuPxtRTCpyKg?authuser=0&hl=es-419&rclk=1","-36.6012984","-72.1053224","Chillán","Ñuble","Chile","Google Maps web scraping con Playwright","2026-05-25","Completo","Sí","","","","","","","","","","","","","","","",""
