"Nombre restaurante","Rating","Cantidad reviews","Dirección","Teléfono","Sitio web","Categoría","Google Maps URL","Latitud","Longitud","Comuna","Región","País","Fuente","Fecha extracción","Calidad dato","Es restaurante válido","Instagram URL","Instagram Usuario","Facebook URL","TikTok URL","Tiene Redes","Calidad Redes","Está en Uber Eats","URL Uber Eats","Confianza Uber Eats","Está en PedidosYa","URL PedidosYa","Confianza PedidosYa","Está en Rappi","URL Rappi","Confianza Rappi","Observaciones"
"Tio Tomate La Dehesa","4.4","331","San Lucas 230, 7690493 Santiago, Lo Barnechea, Región Metropolitana","9 7661 9011","http://tiotomate.cl/","Restaurante","https://www.google.com/maps/place/Tio+Tomate+La+Dehesa/data=!4m7!3m6!1s0x9662cb099a3ff2a1:0xe32031824b1bf9be!8m2!3d-33.3628895!4d-70.512014!16s%2Fg%2F11k9s_w3ny!19sChIJofI_mgnLYpYRvvkbS4IxIOM?authuser=0&hl=es-419&rclk=1","-33.3628895","-70.512014","Lo Barnechea","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","",""
"Doña Tina","4.4","04","Cam. los Refugios del Arrayan 15125, Lo Barnechea, Región Metropolitana","(2) 2321 6546","http://www.donatina.cl/","Restaurante","https://www.google.com/maps/place/Do%C3%B1a+Tina/data=!4m7!3m6!1s0x9662cb90b5ce7e15:0xd77184d3077867ff!8m2!3d-33.3610734!4d-70.4920546!16s%2Fg%2F1hjgq14dc!19sChIJFX7OtZDLYpYR_2d4B9OEcdc?authuser=0&hl=es-419&rclk=1","-33.3610734","-70.4920546","Lo Barnechea","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","",""
"Aleman Experto La Dehesa","4.4","06","Av. La Dehesa 1670, 7690253 Lo Barnechea, Región Metropolitana","(2) 3267 1637","http://www.alemanexperto.cl/","Restaurante","https://www.google.com/maps/place/Aleman+Experto+La+Dehesa/@-33.3573537,-70.5176429,17z/data=!3m1!4b1!4m6!3m5!1s0x9662cbdd07f40b67:0x915b5dbe49b78295!8m2!3d-33.3573537!4d-70.5176429!16s%2Fg%2F11g8ygtnln?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUxNy4wIKXMDSoASAFQAw%3D%3D","-33.3573537","-70.5176429","Lo Barnechea","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","",""
"Margo la Dehesa","4.4","879","Manquehue Ote. 2030, Lo Barnechea, Región Metropolitana","(2) 2244 5902","http://www.margo.cl/","Restaurante","https://www.google.com/maps/place/Margo+la+Dehesa/@-33.3614438,-70.5450202,17z/data=!3m1!4b1!4m6!3m5!1s0x9662c96a2dfd1409:0x725f7a3109c9c0e1!8m2!3d-33.3614438!4d-70.5450202!16s%2Fg%2F11bvvyh5n_?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUxNy4wIKXMDSoASAFQAw%3D%3D","-33.3614438","-70.5450202","Lo Barnechea","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","",""
"Nelí Portal La Dehesa","4.5","102","Av. La Dehesa 1445, local 1108, 7690130 Lo Barnechea, Región Metropolitana","9 7949 2016","https://www.neli.cl/","Restaurante","https://www.google.com/maps/place/Nel%C3%AD+Portal+La+Dehesa/data=!4m7!3m6!1s0x9662cb76dd6c75a1:0xef4c811b5d84772f!8m2!3d-33.3573513!4d-70.5151516!16s%2Fg%2F11ww0wwdnp!19sChIJoXVs3XbLYpYRL3eEXRuBTO8?authuser=0&hl=es-419&rclk=1","-33.3573513","-70.5151516","Lo Barnechea","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","",""
"ZÍA Bistró & Café","4.6","142","El Rodeo 13453, 7690098 Lo Barnechea, Región Metropolitana","9 3647 8658","http://www.ziabistro.cl/","Restaurante","https://www.google.com/maps/place/Z%C3%8DA+Bistr%C3%B3+%26+Caf%C3%A9/data=!4m7!3m6!1s0x9662cb0bb59653bf:0x621cf567cf02bc40!8m2!3d-33.3519791!4d-70.5121117!16s%2Fg%2F11lv74fdpq!19sChIJv1OWtQvLYpYRQLwCz2f1HGI?authuser=0&hl=es-419&rclk=1","-33.3519791","-70.5121117","Lo Barnechea","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","No","","","","","","","","","","","","","","","","Revisar: parece cafe"
"Hocha Restaurante de Comida Típica Taiwanesa - Patio La Dehesa","4.7","85","Av. José Alcalde Délano 10425, Local 21, 7690324 Lo Barnechea, Región Metropolitana","(2) 2954 7934","http://www.hocha.cl/","Restaurante asiático","https://www.google.com/maps/place/Hocha+Restaurante+de+Comida+T%C3%ADpica+Taiwanesa+-+Patio+La+Dehesa/@-33.3594746,-70.5433854,17z/data=!3m1!4b1!4m6!3m5!1s0x9662c97611858c27:0x9c7c6196c38ccd8!8m2!3d-33.3594746!4d-70.5433854!16s%2Fg%2F11sd_8p15m?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUxNy4wIKXMDSoASAFQAw%3D%3D","-33.3594746","-70.5433854","Lo Barnechea","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","",""
"Rishtedar La Dehesa","4.9","51","El Rodeo 12850, Local 74 y 75, Lo Barnechea, Región Metropolitana","(2) 3345 4142","https://rishtedar.cl/","Restaurante indio","https://www.google.com/maps/place/Rishtedar+La+Dehesa/data=!4m7!3m6!1s0x9662cbe6c5693217:0x1785539e3974932c!8m2!3d-33.3524375!4d-70.5196951!16s%2Fg%2F11xtxwszz2!19sChIJFzJpxebLYpYRLJN0OZ5ThRc?authuser=0&hl=es-419&rclk=1","-33.3524375","-70.5196951","Lo Barnechea","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","",""
"Fiamma","4.6","343","Av. La Dehesa 1445, local 6224, 7690130 Lo Barnechea, Región Metropolitana","","https://fiammaristorante.cl/","Restaurante italiano","https://www.google.com/maps/place/Fiamma/@-33.3585606,-70.5158902,17z/data=!3m1!4b1!4m6!3m5!1s0x9662cb0026674221:0xadb31afc1247a4da!8m2!3d-33.3585606!4d-70.5158902!16s%2Fg%2F11yczhp7tn?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUxNy4wIKXMDSoASAFQAw%3D%3D","-33.3585606","-70.5158902","Lo Barnechea","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Sin teléfono","Sí","","","","","","","","","","","","","","","","Sin teléfono visible"
"El Japonés - Portal La Dehesa","4.8","724","Av. La Dehesa 1445, local 6224, 7690130 Lo Barnechea, Región Metropolitana","","https://eljaponeschile.com/","Restaurante japonés","https://www.google.com/maps/place/El+Japon%C3%A9s+-+Portal+La+Dehesa/@-33.3587407,-70.5158683,17z/data=!3m1!4b1!4m6!3m5!1s0x9662cb005123129b:0x55f574911866195d!8m2!3d-33.3587407!4d-70.5158683!16s%2Fg%2F11x0mhfd8d?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUxNy4wIKXMDSoASAFQAw%3D%3D","-33.3587407","-70.5158683","Lo Barnechea","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Sin teléfono","Sí","","","","","","","","","","","","","","","","Sin teléfono visible"
"Alemán Experto Los Trapenses","4.6","100","Cam. Los Trapenses 3515, Lo Barnechea, Región Metropolitana","9 9845 0513","http://www.alemanexperto.cl/","Restaurante","https://www.google.com/maps/place/Alem%C3%A1n+Experto+Los+Trapenses/data=!4m7!3m6!1s0x9662c90076f353a1:0x56ca1ab25f5a3687!8m2!3d-33.343684!4d-70.5445141!16s%2Fg%2F11x73w3tj6!19sChIJoVPzdgDJYpYRhzZaX7IaylY?authuser=0&hl=es-419&rclk=1","-33.343684","-70.5445141","Lo Barnechea","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","",""
"La Campiña Cocina Francesa","4.4","28","El Rodeo 13165, El Rodeo, Lo Barnechea, Región Metropolitana","9 4099 5970","http://lacampinafrancesa.cl/","Restaurante francés","https://www.google.com/maps/place/La+Campi%C3%B1a+Cocina+Francesa/data=!4m7!3m6!1s0x9662cb0008d7afdb:0x985d06d8abd5f9ab!8m2!3d-33.3525665!4d-70.515556!16s%2Fg%2F11yq2t7_xz!19sChIJ26_XCADLYpYRq_nVq9gGXZg?authuser=0&hl=es-419&rclk=1","-33.3525665","-70.515556","Lo Barnechea","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","",""
"Sabor y Aroma","4.3","41","Av. Raúl Labbé 12559, 7690554 Lo Barnechea, Región Metropolitana","(2) 3264 3715","https://saboryaroma.cl/","Restaurante peruano","https://www.google.com/maps/place/Sabor+y+Aroma/data=!4m7!3m6!1s0x9662cbe5e86c4a7f:0xd5d5180f7b0dcda7!8m2!3d-33.3653921!4d-70.5156354!16s%2Fg%2F11c22w2c91!19sChIJf0ps6OXLYpYRp80New8Y1dU?authuser=0&hl=es-419&rclk=1","-33.3653921","-70.5156354","Lo Barnechea","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","",""
"Bambinolli Restaurante","4.5","629","El Rodeo 13350, 5006070 Lo Barnechea, Región Metropolitana","9 3239 2425","https://www.instagram.com/bambinollirestaurante/","Restaurante","https://www.google.com/maps/place/Bambinolli+Restaurante/@-33.3514323,-70.5120598,17z/data=!3m1!4b1!4m6!3m5!1s0x9662cbaf9cb86af5:0x4288af43e3d517c5!8m2!3d-33.3514323!4d-70.5120598!16s%2Fg%2F11xw87swbc?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUxNy4wIKXMDSoASAFQAw%3D%3D","-33.3514323","-70.5120598","Lo Barnechea","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","",""
"Santa Brasa Trapenses","4.3","328","Av. José Alcalde Délano 10494, 7691232 Lo Barnechea, Región Metropolitana","9 5012 5729","http://www.santabrasa.cl/","Restaurante","https://www.google.com/maps/place/Santa+Brasa+Trapenses/data=!4m7!3m6!1s0x9662c9f2202cde1b:0x87c84f302c81099b!8m2!3d-33.3566233!4d-70.5394682!16s%2Fg%2F11j002_66l!19sChIJG94sIPLJYpYRmwmBLDBPyIc?authuser=0&hl=es-419&rclk=1","-33.3566233","-70.5394682","Lo Barnechea","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","",""
"Ostras Chiloé - Los Trapenses","4.9","40","Del Monje 10548, 7700333 Lo Barnechea, Región Metropolitana","(2) 2981 6668","","Marisquería","https://www.google.com/maps/place/Ostras+Chilo%C3%A9+-+Los+Trapenses/@-33.3468895,-70.5423957,17z/data=!3m1!4b1!4m6!3m5!1s0x9662c9bf05f7a90f:0x6f76b7265e34a41b!8m2!3d-33.3468895!4d-70.5423957!16s%2Fg%2F11h53xdw_d?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUxNy4wIKXMDSoASAFQAw%3D%3D","-33.3468895","-70.5423957","Lo Barnechea","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Parcial","No","","","","","","","","","","","","","","","",""
"Pata Negra Chile","5.0","6","Av. La Dehesa 1500, 7690253 Santiago, Lo Barnechea, Región Metropolitana","","https://www.instagram.com/patanegra.chile/","Restaurante mediterráneo","https://www.google.com/maps/place/Pata+Negra+Chile/data=!4m7!3m6!1s0x9662cb003d17c26f:0x7ce026e5f01ed125!8m2!3d-33.3581708!4d-70.5186954!16s%2Fg%2F11wqqw9zrt!19sChIJb8IXPQDLYpYRJdEe8OUm4Hw?authuser=0&hl=es-419&rclk=1","-33.3581708","-70.5186954","Lo Barnechea","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Sin teléfono","Sí","","","","","","","","","","","","","","","","Sin teléfono visible"
